CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,OWNSHP_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Residential,1,LEG,LEGACY,SOUTH,DEVELOPING,BUILDING OUT,2019,,6420,2766,850,1826,1071,506,175,107,907,1081,356,14,1004,311,0,0,0,0,0,0,0,0,0,3125,3283,330,387,171,212,708,604,369,196,111,37,356,375,153,206,810,600,355,250,141,37,686,762,324,418,1518,1204,724,446,252,74,0,0,0,0,0,0,0,0,0,0,0
Residential,1,HPK,HIGHLAND PARK,CENTRE,BUILT-OUT,1950s,2019,,3838,2277,325,645,786,190,107,84,1104,823,402,45,520,24,0,460,0,2,1,0,0,0,0,1986,1846,142,167,52,119,364,456,264,243,117,62,140,155,39,98,413,342,221,216,112,110,282,322,91,217,777,798,485,459,229,172,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CNS,CORNERSTONE,NORTHEAST,DEVELOPING,2000s,2019,,2648,1285,199,708,262,42,14,27,940,595,264,69,219,128,0,10,0,0,0,0,0,0,0,1409,1225,136,201,63,74,275,339,137,122,54,8,81,131,65,51,332,254,124,123,64,0,217,332,128,125,607,593,261,245,118,8,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MON,MONTGOMERY,NORTHWEST,BUILT-OUT,1950s,2019,,4515,2013,328,1027,938,157,90,38,790,987,539,10,132,111,0,221,0,5,1,2,0,5,0,2216,2291,150,200,92,154,497,388,263,245,141,86,137,186,77,163,506,398,267,278,144,135,287,386,169,317,1003,786,530,523,285,221,0,0,0,0,0,0,0,0,0,0,0
Residential,1,TEM,TEMPLE,NORTHEAST,BUILT-OUT,1960s/1970s,2019,,10977,3733,908,2460,1932,610,229,234,727,2304,609,1,117,424,0,277,0,0,1,0,0,0,0,5597,5357,353,813,354,369,817,870,683,712,473,153,320,767,332,333,799,857,620,702,468,159,673,1580,686,702,1616,1727,1303,1414,941,312,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01F,01F,NORTHWEST,BUILT-OUT,2000s,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WBN,WOODBINE,SOUTH,BUILT-OUT,1980s/1990s,2019,,8866,3372,557,2959,2060,648,240,105,319,2930,82,0,0,342,0,18,0,0,0,0,0,0,0,4471,4373,231,563,239,262,499,551,582,737,598,209,205,495,200,204,470,582,632,848,543,194,436,1058,439,466,969,1133,1214,1593,1141,403,8,0,0,0,0,0,0,0,8,0,0
Residential,1,UNI,UNIVERSITY HEIGHTS,NORTHWEST,BUILT-OUT,1960s/1970s,2019,,2921,1378,135,378,913,80,51,38,296,429,43,0,874,12,0,19,0,0,1,0,0,0,0,1488,1427,77,119,58,295,370,183,109,118,88,71,60,129,52,252,321,167,139,127,103,77,137,248,110,547,691,350,248,245,191,148,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BNK,BANKVIEW,CENTRE,BUILT-OUT,INNER CITY,2019,,5256,3531,165,826,1370,172,240,50,1699,483,115,50,2443,244,0,195,0,0,1,0,0,0,0,2686,2553,84,116,44,185,902,638,335,235,117,30,83,110,43,211,966,534,269,183,109,45,167,226,87,396,1868,1172,604,418,226,75,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,EAST,BUILT-OUT,1950s,2019,,6997,3010,767,819,1271,357,293,56,1026,909,474,27,794,346,0,457,1,0,1,0,1,0,0,3627,3360,286,412,163,219,736,653,465,405,172,116,291,369,151,199,698,567,420,330,192,143,577,781,314,418,1434,1220,885,735,364,259,0,0,0,0,0,0,0,0,0,0,0
