Time,GeoType,GeoID,GeoRank,Geography,Number,Percent,Rank
2015-19,NTA,501,7,Claremont-Bathgate,14898,43.22,
2015-19,NTA,503,7,Eastchester-Edenwald-Baychester,6551,17.35,
2015-19,NTA,505,7,Bedford Park-Fordham North,17992,31,
2015-19,NTA,506,7,Belmont,10489,40.04,
2015-19,NTA,507,7,Bronxdale,9334,24.46,
2015-19,NTA,508,7,West Farms-Bronx River,11240,31.95,
2015-19,NTA,509,7,Soundview-Castle Hill-Clason Point-Harding Park,15098,27.73,
2015-19,NTA,510,7,Pelham Bay-Country Club-City Island,2964,10.96,
2015-19,NTA,513,7,Co-op City,5052,11.29,
2015-19,NTA,514,7,East Concourse-Concourse Village,20779,32.81,
2015-19,NTA,517,7,East Tremont,17159,39.5,
2015-19,NTA,522,7,North Riverdale-Fieldston-Riverdale,1834,7.44,
2015-19,NTA,526,7,Highbridge,14087,36.7,
2015-19,NTA,527,7,Hunts Point,10312,40.8,
2015-19,NTA,528,7,Van Cortlandt Village,12607,25.43,
2015-19,NTA,529,7,Spuyten Duyvil-Kingsbridge,3934,13.13,
2015-19,NTA,530,7,Kingsbridge Heights,9151,27.83,
2015-19,NTA,531,7,Allerton-Pelham Gardens,3633,12.34,
2015-19,NTA,533,7,Longwood,9842,35.78,
2015-19,NTA,534,7,Melrose South-Mott Haven North,16592,38.91,
2015-19,NTA,535,7,Morrisania-Melrose,13547,33.35,
2015-19,NTA,536,7,University Heights-Morris Heights,21497,37.95,
2015-19,NTA,537,7,Van Nest-Morris Park-Westchester Square,4778,20.04,
2015-19,NTA,539,7,Mott Haven-Port Morris,20768,43.28,
2015-19,NTA,540,7,Fordham South,11421,40.57,
2015-19,NTA,541,7,Mount Hope,17895,33.34,
2015-19,NTA,543,7,Norwood,11275,28.6,
2015-19,NTA,544,7,Williamsbridge-Olinville,14306,21.39,
2015-19,NTA,546,7,Parkchester,5590,18.46,
2015-19,NTA,549,7,Pelham Parkway,4154,14.73,
2015-19,NTA,552,7,Schuylerville-Throgs Neck-Edgewater Park,5764,13.12,
2015-19,NTA,555,7,Soundview-Bruckner,11235,31.24,
2015-19,NTA,559,7,Westchester-Unionport,6088,21.68,
2015-19,NTA,562,7,Woodlawn-Wakefield,5654,12.72,
2015-19,NTA,563,7,West Concourse,13297,34.94,
2015-19,NTA,575,7,Crotona Park East,8306,37.23,
2015-19,NTA,4709,7,Brooklyn Heights-Cobble Hill,1504,6.88,
2015-19,NTA,4717,7,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,8699,13.49,
2015-19,NTA,4719,7,Brighton Beach,8009,23.23,
2015-19,NTA,4721,7,Seagate-Coney Island,10369,34.33,
2015-19,NTA,4723,7,West Brighton,2471,14.32,
2015-19,NTA,4725,7,Homecrest,7339,16.41,
2015-19,NTA,4726,7,Gravesend,5884,19.47,
2015-19,NTA,4727,7,Bath Beach,4763,14.28,
2015-19,NTA,4728,7,Bensonhurst West,14810,16.59,
2015-19,NTA,4729,7,Bensonhurst East,12028,18.38,
2015-19,NTA,4730,7,Dyker Heights,7668,17.61,
2015-19,NTA,4731,7,Bay Ridge,9772,12.45,
2015-19,NTA,4732,7,Sunset Park West,12428,24.45,
2015-19,NTA,4733,7,Carroll Gardens-Columbia Street-Red Hook,5811,13.48,
2015-19,NTA,4734,7,Sunset Park East,17602,27.62,
2015-19,NTA,4735,7,Stuyvesant Heights,16016,22.91,
2015-19,NTA,4737,7,Park Slope-Gowanus,5354,7.26,
2015-19,NTA,4738,7,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8617,18.76,
2015-19,NTA,4740,7,Windsor Terrace,1813,7.99,
2015-19,NTA,4741,7,Kensington-Ocean Parkway,6844,19.8,
2015-19,NTA,4742,7,Flatbush,17449,16.85,
2015-19,NTA,4743,7,Midwood,9947,18.74,
2015-19,NTA,4744,7,Madison,4966,12.11,
2015-19,NTA,4745,7,Georgetown-Marine Park-Bergen Beach-Mill Basin,2796,6.06,
2015-19,NTA,4746,7,Ocean Parkway South,3521,17.32,
2015-19,NTA,4750,7,Canarsie,11479,13.03,
2015-19,NTA,4758,7,Flatlands,6103,8.68,
2015-19,NTA,4760,7,Prospect Lefferts Gardens-Wingate,12171,18.29,
2015-19,NTA,4761,7,Crown Heights North,25871,23.42,
2015-19,NTA,4763,7,Crown Heights South,6912,17.65,
2015-19,NTA,4764,7,Prospect Heights,2219,9.96,
2015-19,NTA,4768,7,Fort Greene,5941,19.17,
2015-19,NTA,4769,7,Clinton Hill,5334,14.14,
2015-19,NTA,4772,7,Williamsburg,16849,50.32,
2015-19,NTA,4773,7,North Side-South Side,9120,15.81,
2015-19,NTA,4775,7,Bedford,23981,30.49,
2015-19,NTA,4776,7,Greenpoint,3577,10.38,
2015-19,NTA,4777,7,Bushwick North,15772,28.12,
2015-19,NTA,4778,7,Bushwick South,18630,25.76,
2015-19,NTA,4779,7,Ocean Hill,9709,26.59,
2015-19,NTA,4781,7,Brownsville,20969,41.37,
2015-19,NTA,4782,7,East New York,28986,29.26,
2015-19,NTA,4783,7,Cypress Hills-City Line,10101,20.83,
2015-19,NTA,4785,7,East New York (Pennsylvania Ave),8556,30.54,
2015-19,NTA,4788,7,Borough Park,34333,34.85,
2015-19,NTA,4790,7,East Williamsburg,7184,19.68,
2015-19,NTA,4791,7,East Flatbush-Farragut,6830,13.27,
2015-19,NTA,4793,7,Starrett City,3161,25.27,
2015-19,NTA,4795,7,Erasmus,3758,13.41,
2015-19,NTA,4796,7,Rugby-Remsen Village,7562,13.95,
2015-19,NTA,6101,7,Marble Hill-Inwood,10450,19.97,
2015-19,NTA,6103,7,Central Harlem North-Polo Grounds,21776,25.42,
2015-19,NTA,6104,7,Hamilton Heights,11916,22.76,
2015-19,NTA,6106,7,Manhattanville,7022,29.66,
2015-19,NTA,6109,7,Morningside Heights,8614,19.41,
2015-19,NTA,6111,7,Central Harlem South,10747,21.72,
2015-19,NTA,6112,7,Upper West Side,13292,10.31,
2015-19,NTA,6113,7,Hudson Yards-Chelsea-Flatiron-Union Square,8265,10.88,
2015-19,NTA,6114,7,Lincoln Square,4998,8.02,
2015-19,NTA,6115,7,Clinton,7824,14.81,
2015-19,NTA,6117,7,Midtown-Midtown South,2995,11.44,
2015-19,NTA,6119,7,Turtle Bay-East Midtown,2341,4.72,
2015-19,NTA,6120,7,Murray Hill-Kips Bay,5025,10.42,
2015-19,NTA,6121,7,Gramercy,2024,8.53,
2015-19,NTA,6122,7,East Village,6865,18.02,
2015-19,NTA,6123,7,West Village,3972,6.51,
2015-19,NTA,6124,7,SoHo-TriBeCa-Civic Center-Little Italy,3386,8.03,
2015-19,NTA,6125,7,Battery Park City-Lower Manhattan,2987,6.57,
2015-19,NTA,6127,7,Chinatown,10510,25.7,
2015-19,NTA,6128,7,Lower East Side,21636,31.59,
2015-19,NTA,6131,7,Lenox Hill-Roosevelt Island,4698,5.88,
2015-19,NTA,6132,7,Yorkville,4575,5.87,
2015-19,NTA,6133,7,East Harlem South,16309,29.19,
2015-19,NTA,6134,7,East Harlem North,21818,35.93,
2015-19,NTA,6135,7,Washington Heights North,13116,18.77,
2015-19,NTA,6136,7,Washington Heights South,18294,20.19,
2015-19,NTA,6140,7,Upper East Side-Carnegie Hill,2357,4.35,
2015-19,NTA,6150,7,Stuyvesant Town-Cooper Village,1943,8.7,
2015-19,NTA,8101,7,South Jamaica,6544,15.01,
2015-19,NTA,8102,7,Springfield Gardens North,1768,6.6,
2015-19,NTA,8103,7,Springfield Gardens South-Brookville,2259,10.63,
2015-19,NTA,8105,7,Rosedale,1685,6.36,
2015-19,NTA,8106,7,Jamaica Estates-Holliswood,1738,6.55,
2015-19,NTA,8107,7,Hollis,2014,9.96,
2015-19,NTA,8108,7,St. Albans,4371,8.34,
2015-19,NTA,8110,7,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2670,9.92,
2015-19,NTA,8112,7,Hammels-Arverne-Edgemere,9787,23.65,
2015-19,NTA,8115,7,Far Rockaway-Bayswater,10048,17.99,
2015-19,NTA,8117,7,Forest Hills,7988,9.17,
2015-19,NTA,8118,7,Rego Park,4051,14.37,
2015-19,NTA,8119,7,Glendale,2848,7.99,
2015-19,NTA,8120,7,Ridgewood,9148,12.06,
2015-19,NTA,8121,7,Middle Village,3008,7.34,
2015-19,NTA,8122,7,Flushing,16416,24.29,
2015-19,NTA,8123,7,College Point,2556,10.62,
2015-19,NTA,8125,7,Corona,11871,21.14,
2015-19,NTA,8126,7,North Corona,9923,18.32,
2015-19,NTA,8127,7,East Elmhurst,2925,16.13,
2015-19,NTA,8128,7,Jackson Heights,12650,13.02,
2015-19,NTA,8129,7,Elmhurst,10489,12.83,
2015-19,NTA,8130,7,Maspeth,2859,8.66,
2015-19,NTA,8131,7,Hunters Point-Sunnyside-West Maspeth,6294,9.11,
2015-19,NTA,8133,7,Cambria Heights,763,3.63,
2015-19,NTA,8134,7,Queens Village,4287,7.92,
2015-19,NTA,8135,7,Briarwood-Jamaica Hills,5887,13.76,
2015-19,NTA,8137,7,Kew Gardens Hills,4738,13.07,
2015-19,NTA,8138,7,Pomonok-Flushing Heights-Hillcrest,5712,16.96,
2015-19,NTA,8141,7,Fresh Meadows-Utopia,2029,10.41,
2015-19,NTA,8142,7,Oakland Gardens,2455,8.25,
2015-19,NTA,8143,7,Bellerose,2405,8.88,
2015-19,NTA,8144,7,Glen Oaks-Floral Park-New Hyde Park,1491,6.31,
2015-19,NTA,8145,7,Douglas Manor-Douglaston-Little Neck,1566,6.21,
2015-19,NTA,8146,7,Bayside-Bayside Hills,3062,7.25,
2015-19,NTA,8147,7,Ft. Totten-Bay Terrace-Clearview,1369,6.23,
2015-19,NTA,8148,7,Auburndale,1874,9.27,
2015-19,NTA,8149,7,Whitestone,1618,5.13,
2015-19,NTA,8150,7,Elmhurst-Maspeth,2619,11.03,
2015-19,NTA,8151,7,Murray Hill,7543,15.28,
2015-19,NTA,8152,7,East Flushing,3902,15.48,
2015-19,NTA,8153,7,Woodhaven,7293,12.13,
2015-19,NTA,8154,7,Richmond Hill,9447,14.58,
2015-19,NTA,8155,7,South Ozone Park,8514,10.6,
2015-19,NTA,8156,7,Ozone Park,3186,13.32,
2015-19,NTA,8157,7,Lindenwood-Howard Beach,2718,9.68,
2015-19,NTA,8160,7,Kew Gardens,2156,9.68,
2015-19,NTA,8161,7,Jamaica,9103,16.85,
2015-19,NTA,8162,7,Queensboro Hill,2727,13.57,
2015-19,NTA,8163,7,Woodside,4346,10.44,
2015-19,NTA,8166,7,Laurelton,1523,5.91,
2015-19,NTA,8168,7,Queensbridge-Ravenswood-Long Island City,5125,27.1,
2015-19,NTA,8170,7,Astoria,8768,11.87,
2015-19,NTA,8171,7,Old Astoria,4093,17.48,
2015-19,NTA,8172,7,Steinway,4180,8.87,
2015-19,NTA,8176,7,Baisley Park,4014,10.68,
2015-19,NTA,8501,7,Annadale-Huguenot-Prince's Bay-Eltingville,1695,5.7,
2015-19,NTA,8505,7,New Springville-Bloomfield-Travis,4025,9.71,
2015-19,NTA,8507,7,Westerleigh,2010,8.22,
2015-19,NTA,8508,7,Grymes Hill-Clifton-Fox Hills,4341,21.35,
2015-19,NTA,8511,7,Charleston-Richmond Valley-Tottenville,936,3.95,
2015-19,NTA,8512,7,Mariner's Harbor-Arlington-Port Ivory-Graniteville,6728,20.63,
2015-19,NTA,8514,7,Grasmere-Arrochar-Ft. Wadsworth,2428,14.96,
2015-19,NTA,8522,7,West New Brighton-New Brighton-St. George,6513,21.15,
2015-19,NTA,8524,7,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2685,8.57,
2015-19,NTA,8525,7,Oakwood-Oakwood Beach,1616,7.91,
2015-19,NTA,8528,7,Port Richmond,2855,14.85,
2015-19,NTA,8532,7,Rossville-Woodrow,1820,8.35,
2015-19,NTA,8535,7,New Brighton-Silver Lake,2544,15.26,
2015-19,NTA,8536,7,Old Town-Dongan Hills-South Beach,3141,12.15,
2015-19,NTA,8537,7,Stapleton-Rosebank,5529,22.57,
2015-19,NTA,8545,7,New Dorp-Midland Beach,2133,10.06,
2015-19,NTA,8548,7,Arden Heights,1425,5.32,
2015-19,NTA,8554,7,Great Kills,2197,5.27,
2015-19,CD,101,6,Financial District (CD1),10345,6.96,
2015-19,CD,102,6,Greenwich Village and Soho (CD2),10345,6.96,
2015-19,CD,103,6,Lower East Side and Chinatown (CD3),39011,26.45,
2015-19,CD,104,6,Clinton and Chelsea (CD4),19084,12.31,
