PRESSURE,QUALITY
50,50.8
50,50.7
50,49.4
50,63.4
50,61.6
50,63.4
50,46.6
50,49.1
50,46.4
51,70
51,75
52.5,72
52.5,74
52.5,76
53,74
53,75
53.5,80
54,84
54,78
54,89
54.5,89
55,93.7
55,90.9
55,90.9
55,93.8
55,92.1
55,97.4
55,69.8
55,72.5
55,73.2
55,89
55,95
55.7,90
55.8,88
55.9,87
56,72
56,75
56,78
56.5,71
56.5,69
56.5,68.5
57,69
57,68
57,63
57.5,59
58,68
58,56
58,56
58,59
58,59.5
58,57
58.4,57.5
58.5,56
58.5,56
58.5,56
58.6,54
58.7,58
58.9,45
59,45
59,42
59,42
59,46
59,48
59.5,47
59.5,48
59.5,49
59.9,50
60,51
60,52
60,53
60,54
60,47
60,45
60,46
60,52
60,40
