,GeoType,Time,Geography,nitrogenDioxide,AvgNitrogenDioxide,nitricOxide,AvgNitricOxide,pm25,AvgPM25,AgeAdjustedAsthma,AvgAgeAdjustedAsthma
0,UHF42,2009,Bayside - Little Neck,20.05,17.973,22.9,19.357,9.72,8.783,4.8,2.733
1,UHF42,2012,Bayside - Little Neck,17.46,17.973,18.36,19.357,8.55,8.783,2.1,2.733
2,UHF42,2013,Bayside - Little Neck,16.41,17.973,16.81,19.357,8.08,8.783,1.3,2.733
6,UHF42,2009,Bedford Stuyvesant - Crown Heights,26.93,24.03,26.09,21.19,10.75,9.543,6.0,4.867
7,UHF42,2012,Bedford Stuyvesant - Crown Heights,22.88,24.03,19.98,21.19,9.13,9.543,2.6,4.867
8,UHF42,2013,Bedford Stuyvesant - Crown Heights,22.28,24.03,17.5,21.19,8.75,9.543,6.0,4.867
12,UHF42,2009,Bensonhurst - Bay Ridge,22.54,22.54,19.89,19.89,9.91,9.91,3.5,3.5
14,UHF42,2009,Borough Park,24.79,21.963,22.04,18.93,10.27,9.217,0.8,2.833
15,UHF42,2012,Borough Park,20.87,21.963,18.34,18.93,8.89,9.217,4.0,2.833
16,UHF42,2013,Borough Park,20.23,21.963,16.41,18.93,8.49,9.217,3.7,2.833
20,Borough,2009,Bronx,24.52,21.705,26.11,21.298,11.05,9.982,6.6,6.883
21,Borough,2010,Bronx,22.16,21.705,22.03,21.298,10.14,9.982,5.9,6.883
22,Borough,2011,Bronx,22.73,21.705,24.33,21.298,10.82,9.982,7.2,6.883
23,Borough,2012,Bronx,20.99,21.705,19.55,21.298,9.54,9.982,7.6,6.883
24,Borough,2013,Bronx,19.86,21.705,17.63,21.298,9.1,9.982,6.3,6.883
25,Borough,2015,Bronx,19.97,21.705,18.14,21.298,9.24,9.982,7.7,6.883
26,Borough,2009,Brooklyn,24.11,21.57,23.13,20.343,10.5,9.475,4.0,4.233
27,Borough,2010,Brooklyn,22.7,21.57,21.24,20.343,9.69,9.475,3.1,4.233
28,Borough,2011,Brooklyn,22.84,21.57,23.73,20.343,10.2,9.475,4.6,4.233
29,Borough,2012,Brooklyn,20.56,21.57,18.77,20.343,9.02,9.475,4.2,4.233
30,Borough,2013,Brooklyn,19.92,21.57,16.7,20.343,8.7,9.475,4.2,4.233
31,Borough,2015,Brooklyn,19.29,21.57,18.49,20.343,8.74,9.475,5.3,4.233
32,UHF42,2009,Canarsie - Flatlands,20.22,18.03,19.78,17.0,9.85,8.8,2.3,4.2
33,UHF42,2012,Canarsie - Flatlands,17.22,18.03,16.44,17.0,8.37,8.8,6.0,4.2
34,UHF42,2013,Canarsie - Flatlands,16.65,18.03,14.78,17.0,8.18,8.8,4.3,4.2
38,UHF42,2009,Central Harlem - Morningside Heights,31.06,27.393,33.05,26.733,11.6,10.43,4.5,6.533
39,UHF42,2012,Central Harlem - Morningside Heights,25.76,27.393,25.03,26.733,9.99,10.43,11.5,6.533
40,UHF42,2013,Central Harlem - Morningside Heights,25.36,27.393,22.12,26.733,9.7,10.43,3.6,6.533
44,UHF42,2009,Chelsea - Clinton,39.87,35.85,49.53,42.14,14.24,13.023,1.3,2.833
45,UHF42,2012,Chelsea - Clinton,34.33,35.85,40.47,42.14,12.42,13.023,2.9,2.833
46,UHF42,2013,Chelsea - Clinton,33.35,35.85,36.42,42.14,12.41,13.023,4.3,2.833
50,UHF42,2009,Coney Island - Sheepshead Bay,19.9,17.823,18.64,16.907,9.55,8.653,3.5,3.767
51,UHF42,2012,Coney Island - Sheepshead Bay,17.21,17.823,16.88,16.907,8.3,8.653,5.5,3.767
52,UHF42,2013,Coney Island - Sheepshead Bay,16.36,17.823,15.2,16.907,8.11,8.653,2.3,3.767
56,UHF42,2009,Crotona -Tremont,28.07,24.72,30.87,25.27,11.76,10.577,6.5,8.067
57,UHF42,2012,Crotona -Tremont,23.42,24.72,23.63,25.27,10.22,10.577,10.7,8.067
58,UHF42,2013,Crotona -Tremont,22.67,24.72,21.31,25.27,9.75,10.577,7.0,8.067
62,UHF42,2009,Downtown - Heights - Slope,28.4,25.263,28.03,23.223,11.5,10.287,6.7,4.3
63,UHF42,2012,Downtown - Heights - Slope,23.98,25.263,22.05,23.223,9.9,10.287,3.8,4.3
64,UHF42,2013,Downtown - Heights - Slope,23.41,25.263,19.59,23.223,9.46,10.287,2.4,4.3
68,UHF42,2009,East Flatbush - Flatbush,25.14,22.29,24.68,20.89,10.47,9.35,1.4,3.267
69,UHF42,2012,East Flatbush - Flatbush,21.16,22.29,20.0,20.89,8.98,9.35,2.0,3.267
70,UHF42,2013,East Flatbush - Flatbush,20.57,22.29,17.99,20.89,8.6,9.35,6.4,3.267
74,UHF42,2013,East Harlem,24.75,24.75,23.71,23.71,9.73,9.73,1.8,1.8
76,UHF42,2009,East New York,23.9,21.587,24.17,19.903,10.6,9.41,5.8,5.633
77,UHF42,2012,East New York,20.67,21.587,18.82,19.903,8.94,9.41,6.3,5.633
78,UHF42,2013,East New York,20.19,21.587,16.72,19.903,8.69,9.41,4.8,5.633
82,UHF42,2009,Flushing - Clearview,22.68,20.407,22.95,18.84,10.16,9.15,5.1,3.267
83,UHF42,2012,Flushing - Clearview,19.83,20.407,17.66,18.84,8.9,9.15,2.9,3.267
84,UHF42,2013,Flushing - Clearview,18.71,20.407,15.91,18.84,8.39,9.15,1.8,3.267
88,UHF42,2009,Fordham - Bronx Pk,24.82,21.907,27.96,22.3,11.1,9.877,8.5,6.933
89,UHF42,2012,Fordham - Bronx Pk,21.01,21.907,20.55,22.3,9.47,9.877,4.4,6.933
90,UHF42,2013,Fordham - Bronx Pk,19.89,21.907,18.39,22.3,9.06,9.877,7.9,6.933
94,UHF42,2009,Fresh Meadows,22.78,20.53,23.73,19.72,10.0,8.947,4.8,2.733
95,UHF42,2012,Fresh Meadows,19.78,20.53,18.61,19.72,8.63,8.947,2.1,2.733
96,UHF42,2013,Fresh Meadows,19.03,20.53,16.82,19.72,8.21,8.947,1.3,2.733
100,UHF42,2009,Gramercy Park - Murray Hill,43.32,38.897,53.68,46.553,15.03,13.82,2.5,3.1
101,UHF42,2012,Gramercy Park - Murray Hill,37.29,38.897,45.07,46.553,13.23,13.82,2.1,3.1
102,UHF42,2013,Gramercy Park - Murray Hill,36.08,38.897,40.91,46.553,13.2,13.82,4.7,3.1
106,UHF42,2009,Greenpoint,26.95,24.477,27.99,22.803,11.93,10.733,7.5,4.467
107,UHF42,2012,Greenpoint,23.63,24.477,21.47,22.803,10.27,10.733,4.2,4.467
108,UHF42,2013,Greenpoint,22.85,24.477,18.95,22.803,10.0,10.733,1.7,4.467
112,UHF42,2009,Greenwich Village - SoHo,34.75,31.307,50.55,42.193,12.75,11.517,1.3,2.833
113,UHF42,2012,Greenwich Village - SoHo,29.98,31.307,40.06,42.193,10.99,11.517,2.9,2.833
114,UHF42,2013,Greenwich Village - SoHo,29.19,31.307,35.97,42.193,10.81,11.517,4.3,2.833
118,UHF42,2009,High Bridge - Morrisania,29.35,25.77,30.91,25.263,11.8,10.63,6.5,8.067
119,UHF42,2012,High Bridge - Morrisania,24.23,25.77,23.7,25.263,10.26,10.63,10.7,8.067
120,UHF42,2013,High Bridge - Morrisania,23.73,25.77,21.18,25.263,9.83,10.63,7.0,8.067
