Time,GeoType,GeoID,GeoRank,Geography,10th percentile,90th percentile,Mean,Pollutant,Unit
Winter 2015-16,CD,101,6,Financial District (CD1),0.17,0.25,0.21,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,102,6,Greenwich Village and Soho (CD2),0.26,0.49,0.36,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,103,6,Lower East Side and Chinatown (CD3),0.22,0.41,0.29,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,104,6,Clinton and Chelsea (CD4),0.22,0.43,0.31,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,105,6,Midtown (CD5),0.35,0.54,0.43,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),0.31,0.48,0.38,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,107,6,Upper West Side (CD7),0.36,0.51,0.44,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,108,6,Upper East Side (CD8),0.3,0.58,0.45,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,109,6,Morningside Heights and Hamilton Heights (CD9),0.31,0.48,0.39,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,110,6,Central Harlem (CD10),0.31,0.43,0.36,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,111,6,East Harlem (CD11),0.25,0.36,0.3,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,112,6,Washington Heights and Inwood (CD12),0.4,0.61,0.51,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,201,6,Mott Haven and Melrose (CD1),0.22,0.29,0.26,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,202,6,Hunts Point and Longwood (CD2),0.21,0.29,0.25,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,203,6,Morrisania and Crotona (CD3),0.28,0.38,0.32,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,204,6,Highbridge and Concourse (CD4),0.32,0.54,0.45,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,205,6,Fordham and University Heights (CD5),0.47,0.68,0.57,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,206,6,Belmont and East Tremont (CD6),0.3,0.52,0.38,Sulfur Dioxide (SO2),ppb
Winter 2015-16,CD,207,6,Kingsbridge Heights and Bedford (CD7),0.46,0.65,0.55,Sulfur Dioxide (SO2),ppb
