Time,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate (Females) per 100,000","Age-adjusted rate (Males) per 100,000","Age-adjusted rate per 100,000",Average annual number,Average annual number (Females),Average annual number (Males),Type
2011-2015,Subboro,1,5,Mott Haven/Hunts Point,12.8,20.5,16.3,21.6,9,12.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,2,5,Morrisania/East Tremont,14.7,24.7,18.7,25,11.6,13.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,3,5,Highbridge/South Concourse,22.6,19,20.6,25.4,15.6,9.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,4,5,University Heights/Fordham,14.9,30.1,20.9,21.8,9.2,12.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,5,5,Kingsbridge Heights/Mosholu,15,21.9,18.1,20.8,9.4,11.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,6,5,Riverdale/Kingsbridge,18,21.8,19.6,28.4,15.4,13,Non-Hodgkin's Lymphomas
2011-2015,Subboro,7,5,Soundview/Parkchester,14.5,24.9,18.7,32.6,14.6,18,Non-Hodgkin's Lymphomas
2011-2015,Subboro,8,5,Throgs Neck/Co-op City,15.1,25.8,19.2,31,14.4,16.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,9,5,Pelham Parkway,16,23.1,19,26.4,12.8,13.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,10,5,Williamsbridge/Baychester,15.1,26.2,19.5,27.8,12.6,15.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,11,5,Williamsburg/Greenpoint,17.6,20.6,18.7,23.4,12.2,11.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,12,5,Brooklyn Heights/Fort Greene,17.9,23.5,20.6,24.2,11.6,12.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,13,5,Bedford Stuyvesant,12.8,17.6,14.6,17.2,8.8,8.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,14,5,Bushwick,14,21.9,17.7,20.6,8.8,11.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,15,5,East New York/Starret City,12.3,22,16.1,24.2,11,13.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,16,5,Park Slope/Carroll Gardens,20,23.3,21.2,20.4,10.8,9.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,17,5,Sunset Park,12.2,23.7,17.3,23.4,8.6,14.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,18,5,N. Crown Heights/Prospect Heights,14,26.9,19.3,23.4,10.2,13.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,19,5,South Crown Heights,14.3,17,15.4,17.6,9.8,7.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,20,5,Bay Ridge,19.1,26,22.3,32.2,16.2,16,Non-Hodgkin's Lymphomas
2011-2015,Subboro,21,5,Bensonhurst,14.1,23.3,18.3,41.2,18,23.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,22,5,Borough Park,19.3,28.9,23.9,35.2,14.8,20.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,23,5,Coney Island,20.8,25.8,22.9,40.4,21.2,19.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,24,5,Flatbush,17.3,19.7,18.5,31,16.6,14.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,25,5,Sheepshead Bay/Gravesend,17.9,24.7,21,40.8,19.4,21.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,26,5,Brownsville/Ocean Hill,17.7,25.2,20.4,21.2,11.4,9.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,27,5,East Flatbush,14.4,15.8,15.2,23,12.6,10.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,28,5,Flatlands/Canarsie,10.1,17.8,13,40.6,19.6,21,Non-Hodgkin's Lymphomas
2011-2015,Subboro,29,5,Greenwich Village/Financial District,18.2,32.6,25.5,35.8,13.4,22.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,30,5,Lower East Side/Chinatown,15.2,22.4,18.2,35.4,16.2,19.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,31,5,Chelsea/Clinton/Midtown,16.7,30.3,23,36.2,13.4,22.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,32,5,Stuyvesant Town/Turtle Bay,23.1,32.3,27.1,48.6,23.4,25.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,33,5,Upper West Side,20.2,31.8,25.2,65.6,30,35.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,34,5,Upper East Side,21.3,33.1,26.4,75.4,35.8,39.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,35,5,Morningside Heights/Hamilton Heights,16.6,22.2,18.9,22.6,11.2,11.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,36,5,Central Harlem,16.9,21.9,19.1,22.2,11.2,11,Non-Hodgkin's Lymphomas
2011-2015,Subboro,37,5,East Harlem,15.5,24.1,19.2,23.4,11.2,12.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,38,5,Washington Heights/Inwood,13.3,22.7,16.9,35.8,16.4,19.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,39,5,Astoria,15.5,26.4,20.1,35.6,15.2,20.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,40,5,Sunnyside/Woodside,12.8,25.3,18.8,26,9.6,16.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,41,5,Jackson Heights,17,20.5,18.6,32.4,16,16.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,42,5,Elmhurst/Corona,15.7,18.5,16.8,23,11.8,11.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,43,5,Middle Village/Ridgewood,15.2,27.9,21,38.6,15.2,23.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,44,5,Forest Hills/Rego Park,18.4,34.1,25.4,40.4,18.2,22.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,45,5,Flushing/Whitestone,14.2,23.3,18.2,62,27.6,34.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,46,5,Hillcrest/Fresh Meadows,17.9,25.7,21.2,38.4,18.2,20.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,47,5,Kew Gardens/Woodhaven,16.4,21.4,19,25.6,11.4,14.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,48,5,Howard Beach/South Ozone Park,14.3,17.7,15.7,21.8,11,10.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,49,5,Bayside/Little Neck,16.4,25.3,20.4,32.4,14.4,18,Non-Hodgkin's Lymphomas
2011-2015,Subboro,50,5,Jamaica,12.1,15.2,13.5,31.8,16.4,15.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,51,5,Bellerose/Rosedale,14.8,23.7,18.5,42.6,20.6,22,Non-Hodgkin's Lymphomas
2011-2015,Subboro,52,5,Rockaways,18.6,16.4,17.5,23,13.8,9.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,53,5,North Shore,19.9,30.1,24.2,43.2,19.6,23.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,54,5,Mid Island,19.4,31.5,24.7,41,18.4,22.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,55,5,South Shore,22.3,25.2,23.6,44.2,22.6,21.6,Non-Hodgkin's Lymphomas
2011-2015,Borough,1,1,Bronx,15.9,24,19.2,260.8,124.6,136.2,Non-Hodgkin's Lymphomas
2011-2015,Borough,2,1,Brooklyn,16.3,23.1,19.3,500.2,241.6,258.6,Non-Hodgkin's Lymphomas
2011-2015,Borough,3,1,Manhattan,18,28.1,22.5,401.2,182.2,219,Non-Hodgkin's Lymphomas
2011-2015,Borough,4,1,Queens,15.5,23.3,18.9,473.8,219.6,254.2,Non-Hodgkin's Lymphomas
