REF_DATE,GEO,DGUID,Statistics (3),Knowledge of languages (324),Single and multiple responses of knowledge of languages (3),SCALAR_FACTOR,SCALAR_ID,COORDINATE,VALUE
2021,Canada,2021A000011124,Count,Total - Knowledge of languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.1.1,36328480
2021,Canada,2021A000011124,Count,Total - Knowledge of languages,Single responses of knowledge of languages,units,0,1.1.1.1.1.2,21377910
2021,Canada,2021A000011124,Count,Total - Knowledge of languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.1.3,14950565
2021,Canada,2021A000011124,Count,Official languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.2.1,35644655
2021,Canada,2021A000011124,Count,Official languages,Single responses of knowledge of languages,units,0,1.1.1.1.2.2,20797495
2021,Canada,2021A000011124,Count,Official languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.2.3,14847160
2021,Canada,2021A000011124,Count,English,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.3.1,31628575
2021,Canada,2021A000011124,Count,English,Single responses of knowledge of languages,units,0,1.1.1.1.3.2,17218180
2021,Canada,2021A000011124,Count,English,Multiple responses of knowledge of languages,units,0,1.1.1.1.3.3,14410390
2021,Canada,2021A000011124,Count,French,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.4.1,10563235
2021,Canada,2021A000011124,Count,French,Single responses of knowledge of languages,units,0,1.1.1.1.4.2,3579315
2021,Canada,2021A000011124,Count,French,Multiple responses of knowledge of languages,units,0,1.1.1.1.4.3,6983920
2021,Canada,2021A000011124,Count,Non-official languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.5.1,10724695
2021,Canada,2021A000011124,Count,Non-official languages,Single responses of knowledge of languages,units,0,1.1.1.1.5.2,580415
2021,Canada,2021A000011124,Count,Non-official languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.5.3,10144285
2021,Canada,2021A000011124,Count,Indigenous languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.6.1,243160
2021,Canada,2021A000011124,Count,Indigenous languages,Single responses of knowledge of languages,units,0,1.1.1.1.6.2,5670
2021,Canada,2021A000011124,Count,Indigenous languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.6.3,237485
2021,Canada,2021A000011124,Count,Algonquian languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.7.1,163815
2021,Canada,2021A000011124,Count,Algonquian languages,Single responses of knowledge of languages,units,0,1.1.1.1.7.2,1815
2021,Canada,2021A000011124,Count,Algonquian languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.7.3,161995
2021,Canada,2021A000011124,Count,Blackfoot,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.8.1,6680
2021,Canada,2021A000011124,Count,Blackfoot,Single responses of knowledge of languages,units,0,1.1.1.1.8.2,25
2021,Canada,2021A000011124,Count,Blackfoot,Multiple responses of knowledge of languages,units,0,1.1.1.1.8.3,6660
2021,Canada,2021A000011124,Count,Cree-Innu languages,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.9.1,105850
2021,Canada,2021A000011124,Count,Cree-Innu languages,Single responses of knowledge of languages,units,0,1.1.1.1.9.2,1460
2021,Canada,2021A000011124,Count,Cree-Innu languages,Multiple responses of knowledge of languages,units,0,1.1.1.1.9.3,104385
2021,Canada,2021A000011124,Count,Atikamekw,Total - Single and multiple responses of knowledge of languages,units,0,1.1.1.1.10.1,6810
2021,Canada,2021A000011124,Count,Atikamekw,Single responses of knowledge of languages,units,0,1.1.1.1.10.2,265
2021,Canada,2021A000011124,Count,Atikamekw,Multiple responses of knowledge of languages,units,0,1.1.1.1.10.3,6550
